word	rank_a	rank_b	english
novo	843	815	new
definitivno	844	862	definitely
zaustaviti	845	1060	to stop
naši	846	820	our, ours
naprijed	847	1642	forward, forwards
zakon	848	868	law, rule
sistem	849	848	system
išta	850	948	any
apsolutno	851	867	absolutely
dogovor	852	894	agreement, deal
kreni	853	902	to move, set in motion
nađem	854	710	to find, discover
luda	855	835	madman, insane person
vide	856	814	third-person plural present
decu	857	576	children
pivo	858	836	beer
glupo	859	843	stupid, foolish
počinje	860	789	to begin, start, commence
vijesti	861	1675	news
uđi	862	830	to enter, go into, come in
budite	863	854	to be, to exist
ovuda	864	831	this way, in this direction
potreban	865	746	necessary
završiti	866	952	to end, end up, wind up
okej	867	733	okay, all right, fine
rata	868	900	war
govoriti	869	1112	to speak, talk, converse
loša	870	851	bad, malicious
srećan	871	577	happy
ludo	872	910	crazily, insanely
dogoditi	873	1017	to happen
stigli	874	813	masculine plural past active participle of stignuti pf
voda	875	846	water
hrane	876	903	food
nazvati	877	1143	to name
išao	878	811	to go, walk
nađemo	879	747	to find, discover
platiti	880	1078	to pay
napred	881	627	forward, forwards
ostatak	882	922	remainder, rest
umjesto	883	1727	instead of
postati	884	923	to become, turn, get
saznati	885	1016	to find out, come to know
auta	886	1018	car, automobile
njegovog	887	823	his
spasiti	888	1202	to save, salvage
ista	889	938	same
desi	890	766	to happen, occur
ući	891	1012	to enter, go into, come in
zvati	892	1059	to call, to be called
nad	893	896	over, above
poslednji	894	598	final
slobodno	895	842	freely
svuda	896	788	everywhere
avion	897	860	aeroplane
malu	898	893	small
prošli	899	869	past, gone by
sir	900	982	cheese
živjeti	901	1570	to live, exist, be alive
izgubiti	902	1052	to lose, misplace
čast	903	799	honour
male	904	885	small
ključ	905	844	key
dvojica	906	863	two men
tv	907	898	TV
jeli	908	1128	to eat, consume
kamo	909	1152	where, in which direction, whither
tjedan	910	1252	week
doma	911	1138	at home, home
stanju	912	857	condition, state
reč	913	532	word
jaja	914	927	egg
idete	915	828	to go, walk
početi	916	990	to begin, start, commence
djece	917	1808	children
igru	918	940	play
srediti	919	1115	to arrange, settle, put in order
lepa	920	641	nice, pretty
mjesec	921	1694	moon
vezu	922	895	to embroider
žive	923	878	live, alive
prevod	924	806	translation
bol	925	887	pain, aching
ponovno	926	1221	repeatedly, once again
odjednom	927	888	suddenly, unexpectedly, at once
reči	928	604	to say
njegovom	929	853	his
napolju	930	725	outdoors, outside
izvan	931	1094	outside, out of
baci	932	939	to throw, cast
desiti	933	907	to happen, occur
prati	934	905	to follow
dečki	935	1117	boy
prijateljica	936	1040	friend
ostale	937	899	the other
pokaži	938	879	to show, demonstrate
m	939	1031	masculine gender
knjige	940	874	book
užasno	941	856	terribly
telo	942	566	body
stoji	943	901	third-person singular present of stàjati
sobe	944	936	room
izvući	945	1014	to pull out, draw out
putem	946	962	by means of, by way of, through
duboko	947	935	deeply
zbilja	948	1170	indeed
korak	949	931	step
igrati	950	1172	to play
osjećaj	951	1699	feeling
većina	952	889	majority, most
zauvijek	953	1921	forever
odgovara	954	941	third-person singular present of odgovárati
nogu	955	942	leg
pun	956	904	full, filled
moć	957	845	power
prozor	958	949	window
zabava	959	1057	fun, amusement
momka	960	956	a young man, lad
prave	961	909	pure, true, genuine
glava	962	886	head
izgubila	963	965	to lose, misplace
brinuti	964	1190	to worry
čekati	965	1083	to wait, await
kupiti	966	1182	to buy, purchase
završi	967	866	to end, end up, wind up
gotov	968	961	ready, prepared
govore	969	967	speech
cura	970	1325	girl
poslati	971	1076	to send
sveta	972	647	holy, saint
lica	973	968	face
ionako	974	921	anyway, anyhow
pokušati	975	1105	to try, attempt
nastaviti	976	1215	to continue
zaboraviti	977	1049	to forget
budućnost	978	870	future
prokleti	979	966	to curse
budete	980	847	second-person plural present of bȉti
tajna	981	993	secret
niz	982	992	down, along
upoznati	983	1200	to familiarize, get to know, get acquainted with
lično	984	771	personally
zadovoljstvo	985	926	pleasure
de	986	918	where
krevetu	987	947	bed
pomalo	988	897	a little bit
račun	989	913	calculus
pitala	990	976	to ask
ručak	991	871	lunch, dinner, usually the main meal of the day
knjiga	992	924	book
duh	993	911	ghost, spirit
ostao	994	914	to stay, remain
pao	995	946	active past participle of pȁsti
slobodan	996	943	free
mlada	997	960	young
donesi	998	988	to bring, carry
trag	999	1028	trace
ostane	1000	876	to stay, remain
sretno	1001	1648	luckily, with luck, having luck, with the help of luck
napisao	1002	955	to write
novog	1003	973	new
jesti	1004	1241	to eat, consume
misliti	1005	1160	to think
umre	1006	930	to die
shvatiti	1007	1285	to understand, comprehend, grasp, conceive
juče	1009	737	yesterday
koristiti	1010	1328	to use, utilize
držati	1011	1178	to hold, grasp
eno	1012	932	look, see, behold
slažem	1013	890	to lie
minut	1014	826	minute
mnogi	1015	1008	many
staviti	1016	1238	to put, place
doba	1017	1006	time
mir	1018	991	peace
spavati	1019	1337	to sleep
kog	1020	804	of whom
šališ	1021	958	to joke; to joke around
hladno	1022	944	coldly
došlo	1023	925	to come, arrive
trebati	1024	1104	to be needed, to be required
uspio	1025	1848	to succeed, make good
božić	1026	855	god, deity
sjajan	1027	970	radiant, brilliant, shining
test	1028	1034	test
otkad	1029	984	since, ever since
opasno	1030	983	dangerously
sem	1031	760	except, apart from, besides
sunce	1032	919	sun
vlada	1033	1077	government
pitaš	1034	877	to ask
otkud	1035	880	whence, from where
zadatak	1036	1010	task, assignment
ben	1037	1122	birthmark, mole, naevus
onako	1038	929	in that way, so, like that
pametan	1039	1035	smart, clever
očito	1040	1118	obviously
iznenađenje	1041	977	surprise
početak	1042	916	beginning
jezik	1043	1027	tongue
dozvoliti	1044	972	to allow, permit, let
svejedno	1045	978	all the same
ej	1046	937	Expresses annoyance or displeasure
pažljivo	1047	971	carefully, cautiously
brine	1048	981	to worry
