word	rank_a	rank_b	english
užasno	941	987	terribly
stoji	943	945	third-person singular present of stàjati
sobe	944	995	room
izvući	945	775	to pull out, draw out
putem	946	976	by means of, by way of, through
duboko	947	924	deeply
zbilja	948	587	indeed
korak	949	925	step
igrati	950	720	to play
većina	952	869	majority, most
zauvijek	953	736	forever
odgovara	954	947	third-person singular present of odgovárati
nogu	955	961	leg
pun	956	973	full, filled
moć	957	878	power
prozor	958	985	window
zabava	959	959	fun, amusement
momka	960	1478	a young man, lad
prave	961	1156	pure, true, genuine
glava	962	954	head
izgubila	963	1022	to lose, misplace
brinuti	964	754	to worry
čekati	965	657	to wait, await
kupiti	966	773	to buy, purchase
završi	967	1011	to end, end up, wind up
gotov	968	923	ready, prepared
govore	969	903	speech
cura	970	772	girl
poslati	971	817	to send
sveta	972	1887	holy, saint
lica	973	978	face
ionako	974	905	anyway, anyhow
pokušati	975	779	to try, attempt
nastaviti	976	852	to continue
zaboraviti	977	846	to forget
budućnost	978	891	future
prokleti	979	1056	to curse
budete	980	1184	second-person plural present of bȉti
tajna	981	989	secret
niz	982	1020	down, along
upoznati	983	823	to familiarize, get to know, get acquainted with
zadovoljstvo	985	1046	pleasure
de	986	1149	where
krevetu	987	1006	bed
pomalo	988	983	a little bit
račun	989	920	calculus
pitala	990	1071	to ask
ručak	991	916	lunch, dinner, usually the main meal of the day
knjiga	992	971	book
duh	993	975	ghost, spirit
ostao	994	974	to stay, remain
pao	995	930	active past participle of pȁsti
slobodan	996	1014	free
mlada	997	1075	young
donesi	998	1131	to bring, carry
trag	999	938	trace
ostane	1000	1104	to stay, remain
sretno	1001	738	luckily, with luck, having luck, with the help of luck
napisao	1002	967	to write
novog	1003	1055	new
jesti	1004	781	to eat, consume
misliti	1005	811	to think
umre	1006	1136	to die
shvatiti	1007	753	to understand, comprehend, grasp, conceive
sjedi	1008	922	to sit
koristiti	1010	839	to use, utilize
držati	1011	758	to hold, grasp
eno	1012	1171	look, see, behold
slažem	1013	915	to lie
minut	1014	1985	minute
mnogi	1015	1037	many
staviti	1016	739	to put, place
doba	1017	1024	time
mir	1018	1008	peace
spavati	1019	785	to sleep
kog	1020	1422	of whom
šališ	1021	953	to joke; to joke around
hladno	1022	1038	coldly
došlo	1023	933	to come, arrive
trebati	1024	979	to be needed, to be required
uspio	1025	740	to succeed, make good
božić	1026	867	god, deity
sjajan	1027	1036	radiant, brilliant, shining
test	1028	1095	test
otkad	1029	838	since, ever since
opasno	1030	1072	dangerously
sunce	1032	1082	sun
vlada	1033	1093	government
pitaš	1034	1128	to ask
otkud	1035	1099	whence, from where
zadatak	1036	1065	task, assignment
ben	1037	1043	birthmark, mole, naevus
onako	1038	1142	in that way, so, like that
pametan	1039	1070	smart, clever
očito	1040	601	obviously
iznenađenje	1041	998	surprise
početak	1042	899	beginning
jezik	1043	1051	tongue
dozvoliti	1044	1509	to allow, permit, let
svejedno	1045	854	all the same
ej	1046	1382	Expresses annoyance or displeasure
pažljivo	1047	1224	carefully, cautiously
brine	1048	1092	to worry
nositi	1049	807	to carry, bring
pri	1050	999	close to, near, at
uzela	1051	1116	to take
skroz	1052	1181	through
slatko	1053	1148	dessert
usput	1054	1016	by the way
pomaže	1055	965	third-person singular present indicative of pomagati impf
kosu	1056	1123	hair
veza	1057	1047	connection, link
proći	1058	848	to pass, go
brodu	1059	1000	ship
snage	1060	1118	strength, power
glup	1061	1067	stupid, foolish
prsten	1062	1053	ring
hrana	1063	1140	food
krenuo	1064	1145	to move, set in motion
klub	1065	1085	club
dopustiti	1066	751	to allow, permit, let
