word	rank_a	rank_b	english
prozor	985	949	window
prekasno	986	1119	too late, belatedly
užasno	987	856	terribly
tajna	989	993	secret
otvoriti	990	1572	to open
jaja	991	927	egg
njegovog	992	823	his
žive	993	878	live, alive
vide	994	814	third-person plural present
sobe	995	936	room
mišljenje	996	996	opinion
iznenađenje	998	977	surprise
pri	999	998	close to, near, at
brodu	1000	1093	ship
greška	1002	778	fault
ćao	1003	317	hi!
stići	1005	1033	alternative form of stȉgnuti
krevetu	1006	947	bed
mir	1008	991	peace
strah	1009	1044	fear, dread
završi	1011	866	to end, end up, wind up
zamisliti	1012	1653	to imagine
ušao	1013	987	to enter, go into, come in
slobodan	1014	943	free
usput	1016	1150	by the way
malu	1017	893	small
ženi	1019	969	woman
niz	1020	992	down, along
pristup	1021	1165	access
izgubila	1022	965	to lose, misplace
tiho	1023	1237	quietly, silently
doba	1024	1006	time
davno	1025	1069	long ago
ženom	1026	963	woman
konja	1027	1007	horse
male	1028	885	small
uglavnom	1029	1005	mostly, in general
čime	1030	994	what
priznati	1032	1568	to acknowledge, recognize
dar	1033	1460	gift
dovesti	1034	1480	to transfer something by driving
avion	1035	860	aeroplane
sjajan	1036	970	radiant, brilliant, shining
mnogi	1037	1008	many
hladno	1038	944	coldly
čudo	1039	989	wonder, miracle
zaboga	1040	1021	for goodness' sake!
ljut	1042	1097	angry
ben	1043	1122	birthmark, mole, naevus
zadovoljstvo	1046	926	pleasure
veza	1047	1009	connection, link
metak	1048	1198	bullet
živa	1049	1023	live, alive
baci	1050	939	to throw, cast
jezik	1051	1027	tongue
poklon	1052	783	gift, present
prsten	1053	1080	ring
otkriti	1054	1561	to uncover, unveil
novog	1055	973	new
prokleti	1056	966	to curse
prati	1058	905	to follow
prilika	1059	1098	opportunity
očima	1061	1019	eye
počeli	1062	1046	to begin, start, commence
dokaze	1064	1176	proof, evidence
zadatak	1065	1010	task, assignment
boje	1066	1131	color, tint
glup	1067	1025	stupid, foolish
voziti	1068	1747	to drive
dobrodošli	1069	1053	welcome
