rank	word	english	ipa
351	мисли	indefinite plural of ми́съл	/ˈmisli/
352	вземи	second-person singular imperative of взе́ма	[vzɛˈmi]
353	над	above, over	[nat]
354	искаше	second-person singular imperfect indicative of и́скам	[ˈiskɐʃɛ]
355	чувствам	to feel	[ˈt͡ʃu̟stvɐm]
356	каже	third-person singular present indicative of ка́жа	[ˈkaʒɛ]
357	възможно	as much as possible, the most possibly	[vɐzˈmɔʒno]
358	де	where	[dɛ]
359	свят	world, earth, universe	[svʲa̟t]
360	среща	meeting, encounter	[ˈsrɛʃtɐ]
361	моят	my, mine	[ˈmɔjɐt]
362	земята	definite singular of Земя́	/zɛmˈʲatɐ/
363	напълно	fully, completely	[nɐˈpɤɫno]
364	лошо	badly, not well	[ˈɫɔʃo̟]
365	вярно	faithfully, truly	[ˈvʲa̟rno]
366	даде	to give	[dɐˈdɛ]
367	седмица	week	[ˈsɛdmit͡sɐ]
368	мъртъв	dead, lifeless, inanimate	[ˈmɤrtɐf]
369	видиш	second-person singular present indicative of ви́дя	[ˈvidiʃ]
370	чух	first-person singular aorist indicative of чу́я	[t͡ʃu̟x]
371	слушай	second-person singular imperative of слу́шам	[ˈsɫuʃɐj]
372	искал	indefinite masculine singular past active aorist participle…	[ˈiskɐɫ]
373	бог	god → the God / male deity	[bɔk]
374	голям	big, large	[ɡoˈlʲa̟m]
375	казал	indefinite masculine singular past active aorist participle…	[ˈkazɐɫ]
376	дам	to give	[dam]
377	твоята	your, yours	[ˈtvɔjɐtɐ]
378	час	hour	[t͡ʃa̟s]
379	града	town, city	[ɡrɐˈdɤ]
380	тръгваме	first-person plural present indicative of тръ́гвам	[ˈtrɤɡvɐmɛ]
381	коя	who, which	[ˈkɔjɐ]
382	готов	ready, prepared	[ɡoˈtɔf]
383	някога	once, some time ago	[ˈnʲa̟koɡɐ]
384	пък	coordinating conjunction used for juxtaposition: however,…	[pɤk]
385	вратата	definite singular of врата́	/vrɐˈtatɐ/
386	сякаш	as if, as though	[ˈsʲa̟kɐʃ]
387	училище	school	[oˈt͡ʃiliʃtɛ]
388	по-късно	later	[ˈpɔ-ˈkɤsno]
389	искат	third-person plural present indicative of и́скам	[ˈiskɐt]
390	моето	my, mine	[ˈmɔɛto]
391	такава	feminine singular of такъ́в	[tɐˈkavɐ]
392	семейство	family	[sɛˈmɛjstvo]
393	смъртта	death	[smɐrtˈta]
394	ръцете	definite plural of ръка́	/rɐˈt͡sɛtɛ/
395	разбираш	second-person singular present indicative of разби́рам	[rɐzˈbirɐʃ]
396	имах	first-person singular imperfect indicative of и́мам	[ˈimɐx]
397	вярвам	to believe	[ˈvʲa̟rvɐm]
398	бяхме	to be	[ˈbʲa̟xmɛ]
399	син	son	[sin]
400	очите	definite plural of око́ the eyes	[oˈt͡ʃitɛ]
401	телефона	definite objective singular	[tɛlɛˈfɔnɐ]
402	моите	my, mine	[ˈmɔitɛ]
403	вижте	second-person plural imperative of ви́дя	[ˈviʃtɛ]
404	мястото	definite singular of мя́сто	/mˈʲastoto/
405	бъдеш	second-person singular present indicative of бъ́да	[ˈbɤdɛʃ]
406	зад	behind	[zat]
407	щях	to want, to like	[ʃtʲa̟x]
408	разбрах	first-person singular aorist indicative of разбера́	[rɐzˈbrax]
409	според	according to	[spoˈrɛt]
410	пет	five	[pɛt]
411	мислите	definite plural of ми́съл	/ˈmislitɛ/
412	прекалено	too, excessively, overly	[prɛkɐˈlɛno]
413	кола	car, motorcar, automobile, sedan, saloon car	[koˈɫa]
