rank	word	english
922	notum	use
923	handan	beyond
924	partí	a party
925	góða	good
926	sat	to sit
927	vél	machine
928	baki	to bake
929	heita	to be called, to be named
930	val	choice
931	fylgir	to accompany, follow
932	djöfullinn	devil
933	brenna	to burn, to be on fire
934	hlutir	lot, share
935	mála	language
936	endar	end, ending, conclusion
937	hálfviti	idiot
938	kennt	to teach, to tutor
939	bull	nonsense, gibberish
940	liggja	to lie
941	konum	a woman
942	féll	to fall
943	greina	to discern, to distinguish, to separate
944	hvarf	to turn
945	kunna	to know, know a skill
946	her	army, military
947	haldið	to hold
948	sundur	apart
949	tengist	second-person plural present
950	faðir	father
951	sínar	third-person reflexive possessive determiner: his, her,…
952	skref	step, pace
953	frammi	out front; in a location closer to the exit of the house
954	rugl	confusion, mixup
955	gifta	to give away in marriage
956	deila	to divide, to split
957	vekja	to awaken, to wake up
958	skíthæll	shithead, piece of shit
959	sífellt	always, invariably, ever
960	stoppa	to stop, to come to a stop
961	heimsins	world
962	dyr	a door, a doorway
963	kraftaverk	miracle
964	fengi	to receive, to get
965	ís	ice
966	leggur	leg, shank
967	klukkustund	hour
968	lest	train, file, row, line
969	unga	offspring, young, fledgling
970	handtekinn	to arrest, to capture
971	nótt	night
972	nokkuð	fairly, quite
973	heimskur	stupid, foolish, dumb
974	heilsa	health
975	ástfanginn	in love
976	daglega	daily, every day
977	elda	to cook
978	löng	long
979	bjáni	fool, idiot
980	vissu	to know, know of something
981	auk	in addition to
982	slæmur	bad
983	giftur	married
984	mennirnir	human being, person, humanity, mankind, man
985	veitt	to grant, to offer
986	heill	healthy
987	helst	gladly, willingly, readily
988	kosta	to cost
989	dæmis	example, case in point
990	ungi	to hatch
991	síma	to telephone
992	skemmtun	amusement
993	taki	to take
994	valda	to cause
995	snillingur	genius
996	fjarri	far away, far off
997	fyndinn	funny
998	söguna	a story
999	gast	singular past indicative of getast
1000	sterkur	strong
1001	lyf	drug, medicine
1002	einmana	lonely
1003	séns	an opportunity, a chance
1004	eitthvert	someone/something, some
1005	krefst	to demand, to request
1006	velta	a wallow, roll
1007	stinga	to stab, to sting, to prick
1008	ræna	to rob, steal
1009	fagna	to rejoice
1010	te	tea
1011	brátt	soon
1012	sögur	a story
1013	vitlaus	stupid, foolish
1014	svaf	to sleep
1015	tryggja	to secure
1016	öryggi	safety
1017	frétt	piece of news, story
1018	kynni	to know, know a skill
1019	les	to read
1020	jafna	an equation
1021	allri	everybody, everyone, all
1022	ekta	real, genuine
1023	fastur	stuck
1024	ei	dative singular indefinite of e
1025	rannsaka	to investigate
1026	slaka	to slacken, to loosen, to slack
1027	sami	same
1028	einasta	only, sole
1029	alvarlega	seriously
1030	nöfn	name
1031	pund	a traditional unit in Iceland, 12 merkur
1032	einhverjar	someone/something, some
1033	mega	to be allowed, to be permitted, may
1034	farir	to go, to leave
1035	hlutum	piece, part, share
1036	síns	third-person reflexive possessive determiner: his, her,…
1037	sjálfa	selfie
1038	ennþá	still
1039	opnar	to open
1040	skrá	list, register, file, directory
1041	fáviti	idiot, imbecile, nincompoop
1042	tveim	two
1043	stefna	direction, course
1044	egg	an egg
1045	sofandi	to sleep
1046	séra	reverend, father
1047	elti	to chase
1048	nokkrir	some
1049	kvöldi	evening
1050	stúlkuna	girl
1051	bardaga	battle, combat, fight
1052	bú	housekeeping
1053	neita	to deny
1054	flug	flight, flying
1055	henda	to throw
1056	þessari	this, that
1057	byggja	to build
1058	lykt	smell, odour
1059	lækni	medical practitioner, doctor, MD
1060	safna	to gather, collect
1061	foringi	chief, commander
1062	hinna	other, the other, the other one, the next; that
1063	hlakka	to make the sound of an eagle
1064	gefast	to get, receive
1065	hlutverk	task, assignment
1066	orðið	word
1067	skipun	command, order
1068	bækur	book
1069	hita	to heat
1070	ferð	to go, to leave
1071	vinkonu	female friend, girl friend
1072	rífast	to argue, to fight, to quarrel
1073	horfi	to look at, to watch
1074	vanur	experienced
1075	annarra	other, another, another one
1076	líkur	alike, similar, like, resembling
1077	synda	to swim
1078	blanda	to mix
1079	pissa	to pee; to piss
1080	stökkva	to jump, to leap
1081	örlög	destiny
1082	karl	man
1083	sýna	to show
1084	fáir	to receive, to get
1085	fást	to be available
1086	par	pair
1087	fremur	rather
1088	bekk	bench
1089	stundir	an undetermined amount of time, a while
1090	texti	a text
1091	metrar	meter
1092	amen	at the end of creed or in Biblical translations: truly,…
1093	sæi	to see, to sense or perceive with one's eyes
1094	hund	dog
1095	myndin	image, picture
1096	efa	to doubt
1097	kort	map
1098	laug	bath, pool
1099	aumingi	wimp
1100	afa	grandfather
1101	hittast	to meet each other, to concur
1102	saklaus	innocent, blameless
1103	banka	to knock, to beat
1104	heimur	world
1105	börnum	child
1106	kapteinn	captain
1107	tók	to take
1108	hreinsa	to clean, to cleanse
1109	látinn	deceased
1110	fugl	bird
1111	meistari	master
1112	meðan	while
1113	gjarnan	gladly, willingly, readily
1114	sönn	true, not a lie, authentic
1115	lygi	a lie, a falsehood
1116	al	awl
1117	byrjun	beginning, outset, start
1118	heimsækja	to visit, to pay a visit
1119	spenntur	excited
1120	djöfulsins	damned, bloody
1121	prinsessa	princess
1122	dæmi	to judge
1123	landinu	land, earth, ground
1124	tilraun	attempt
1125	slást	to brawl, to fight
1126	ríkur	rich, wealthy
1127	tilviljun	coincidence
1128	vín	wine
1129	oftar	often
1130	synd	sin
1131	gestur	guest
1132	deild	department, division
1133	mætir	one who meets
1134	bil	space, interval
1135	strák	boy
1136	þinni	your
1137	hugrekki	courage
1138	djöfull	devil
1139	hinu	other, the other, the other one, the next; that
1140	stunda	an undetermined amount of time, a while
1141	missi	loss
1142	lygari	liar
1143	fullkomlega	perfectly
1144	spjalla	to chat, converse
1145	öskra	to scream, to shout, to yell
1146	indæll	sweet, delightful, nice, lovely
1147	ánægja	pleasure, satisfaction, contentment
1148	látið	deceased
1149	vald	power, authority
1150	hleypa	to cause to run
1151	gestir	guest
1152	miður	less
1153	hefðir	to have
1154	sigur	victory
1155	leyti	regard, respect
1156	stjarna	a star
1157	þótt	even though, although, despite
1158	dæma	example, case in point
1159	myndarlegur	handsome, good-looking
1160	lista	art
1161	brandari	joke
1162	dagsins	a day
1163	kíkja	to look, peek, peer, peep
1164	borða	to eat
1165	ávallt	always
1166	skrifar	to write
1167	lögum	layer
1168	renna	channel, duct
1169	myndirnar	image, picture
