rank	word	english
1029	asemhaal	to breathe
1030	beskeie	modest, humble
1031	kus	coast, shoreline, seashore
1032	atmosfeer	atmosphere
1033	miljoene	million
1034	maatskappy	company, partnership
1035	gesels	to chat, to talk
1036	effek	effect
1037	vingers	finger
1038	boere	A Boer; an Afrikaner, especially an inhabitant or…
1039	gedig	poem
1040	pappie	dad, father
1041	broers	brother
1042	bek	beak
1043	kaas	cheese
1044	klok	clock
1045	vliegveld	airfield
1046	omgewing	environment, surroundings
1047	saterdag	Saturday
1048	digter	poet
1049	nasionale	national
1050	blaas	bladder
1051	stront	shit, dung
1052	goud	gold
1053	trappe	stairs, staircase
1054	stede	city
1055	beveg	to fight
1056	pers	purple
1057	mei	May
1058	skape	sheep
1059	sosialisme	socialism
1060	trane	tear, teardrop
1061	ape	A monkey, ape
1062	vlermuis	bat
1063	dik	thick, bulky
1064	tweeling	twin
1065	nuuskierig	curious, inquisitive
1066	skelm	scoundrel, rogue
1067	vriendelik	friendly
1068	pynlik	painful
1069	beer	bear
1070	verbeter	to improve
1071	dinsdag	Tuesday
1072	bok	goat
1073	mes	knife
1074	lêer	binder, file
1075	vel	A skin, a hide
1076	orkes	orchestra
1077	duisternis	darkness
1078	rigting	direction
1079	eggenoot	husband, male spouse
1080	tragedie	tragedy
1081	bedrog	deception, fraud, deceit
1082	middernag	midnight
1083	uitgevind	find out
1084	aanbid	to worship
1085	enkel	single
1086	bottel	bottle
1087	oseaan	ocean
1088	kroeg	pub
1089	piramides	pyramid
1090	missie	mission
1091	eenheid	unity
1092	vlak	flat, level, even
1093	konsert	concert
1094	maag	stomach
1095	lippe	lip
1096	baard	beard
1097	inderdaad	indeed
1098	leë	empty
1099	tans	now
1100	aandete	supper, dinner, evening meal
1101	persone	person
1102	fontein	fountain
1103	gesigte	face
1104	begrafnis	funeral
1105	studente	student
1106	sout	salt
1107	daagliks	daily
1108	hoërskool	secondary school
1109	nuutste	new
1110	broek	A pair of trousers, pair of pants
1111	lyf	body, corpse
1112	raai	to guess
1113	tou	A rope
1114	sussie	sister
1115	planeet	planet, major satellite of a star
1116	partytjie	party
1117	advies	advice
1118	sus	sister
1119	vannag	tonight, the next night
1120	spoke	ghost, phantom
1121	karakter	character
1122	skare	crowd
1123	werke	work
1124	oorbly	to remain, to be left
1125	kombers	A blanket
1126	geplaas	to place; to put something down
1127	produk	product
1128	eeue	century
1129	priester	priest
1130	aanbod	offer, proposition
1131	afwesigheid	absence
1132	klip	stone
1133	verpleegster	nurse
1134	naweek	weekend
1135	selde	seldom; rarely
1136	hout	wood
1137	besoeker	A visitor
1138	maan	moon
1139	rekord	record
1140	laag	low
1141	saal	hall, large room
1142	dryf	To float
1143	stoel	chair
1144	publiseer	to publish
1145	aangeval	An act of aggression; assault, attack
1146	heilig	holy
1147	kwessie	question, matter, issue
1148	park	park
1149	biblioteek	library
1150	hemp	shirt
1151	verslaan	to defeat
1152	beseer	to hurt, to injure, to wound
1153	lam	lamb
1154	saad	seed
1155	liefhê	to love
1156	spesiaal	special
1157	ganse	goose
1158	dief	A thief
1159	musikant	musician
1160	pop	doll
1161	offisiere	officer
1162	besoekers	A visitor
1163	reuk	smell
1164	sleutels	key
1165	maatskappye	company, partnership
1166	bediendes	servant, low-ranking employee
1167	vreemdeling	stranger
1168	koek	cake
1169	lughawe	airport
1170	rugsak	A backpack, a rucksack
1171	standbeeld	statue
1172	partye	party
1173	emmer	bucket
1174	gewere	rifle, gun
1175	steen	stone
1176	bladsy	page
1177	spek	bacon
1178	vroutjie	woman
1179	skild	shield
1180	uitstel	to delay, to postpone
1181	oos	east
1182	gate	hole; perforation
1183	tydelik	temporary
1184	stukkend	broken
1185	korrek	correct, right
1186	vabond	vagabond, vagrant, tramp
1187	bokke	goat
1188	twaalf	twelve
1189	bors	chest
1190	gegroet	greet
1191	hongaar	Hungarian
1192	vals	false, wrong, untrue
1193	verlies	loss
1194	saamkom	to gather, to congregate
1195	gesag	authority, power
1196	hongare	Hungarian
1197	duiwe	pigeon, dove
1198	skoot	shot
1199	vlugteling	fugitive; runaway
1200	hongaars	Hungarian
1201	geëet	to eat
1202	rykdom	wealth, prosperity
1203	berig	article, report
1204	stemme	vote
1205	sending	mission
1206	buurman	neighbour
1207	suiwer	pure
1208	burger	citizen
1209	student	student
1210	bruidegom	bridegroom
1211	vark	pig
1212	sinne	meaning, sense
1213	sitkamer	sitting room
1214	musikante	musician
1215	ruim	more than, in excess of
1216	suid	south
1217	sosiale	social
1218	tamatie	tomato
1219	lelik	ugly
1220	krap	crab
1221	skouer	shoulder
1222	lastig	difficult, tough
1223	kamp	camp
1224	messelaar	bricklayer, mason
1225	vierde	fourth
1226	stert	tail
1227	grote	great; big; large
1228	toestemming	permission
1229	dal	dale, valley
1230	aaklige	horrible
1231	storm	storm
1232	kultuur	culture
1233	drank	beverage, drink
1234	aaklig	horrible
1235	divisie	division
1236	teef	bitch
1237	hoede	hat
1238	geslaan	hit, slap, beat, strike
1239	grys	grey/gray
1240	gewoon	usual, ordinary
1241	gebaar	to gesture, to gesticulate
1242	kis	chest, box
1243	ateljee	studio, atelier
1244	koppe	head
1245	dronk	drunken
1246	sweedse	Swedish
1247	velde	A field, open country
1248	kopie	copy
1249	rys	rice
1250	bak	covered bowl, basin
1251	gaande	to go
1252	bladsye	page
1253	wagwoord	password
1254	wetenskap	science, scholarship
1255	organisasie	organization
1256	switserse	Swiss
1257	hawe	port, harbour
1258	vrouens	woman
1259	lêers	binder, file
1260	tulp	tulip
1261	takbok	A deer
1262	gevorm	to form
1263	matroos	sailor, mariner
1264	skop	to kick
1265	heks	witch
1266	rusie	A quarrel, a row, an argument
1267	gehang	to hang
1268	republiek	republic
1269	tekens	sign; signal
1270	eeu	century
1271	koppie	head
1272	lafaard	coward
1273	vlerke	wing
1274	verbeelding	imagination
1275	geweer	rifle, gun
1276	rekenaars	computer
1277	sirkel	circle
1278	swanger	pregnant
1279	gif	poison; a poisonous substance
1280	droog	dry
1281	klokke	clock
1282	voël	A bird
1283	invloed	influence
1284	katolieke	Catholic
1285	klavier	piano
1286	voorkom	to occur
1287	bure	neighbor
1288	gedans	to dance
1289	wrak	A wreck
1290	buis	tube, duct, pipe
1291	drankies	plural of drankie
1292	bitter	very
1293	weerstand	resistance
1294	minnaar	male lover
1295	gebid	to pray
1296	toespraak	a speech, an address
1297	kompetisie	competition
1298	deksels	lid
1299	duim	thumb
1300	dokument	document
1301	agtergrond	background
1302	dwaal	to stray, to wander
1303	papiere	paper
1304	blare	leaf
1305	april	April
1306	grawe	earl, count
1307	vrek	to die
1308	verhaal	story
1309	donder	to plummet, tumble
1310	uitsig	view
1311	spruit	stream or small river; river branch
1312	onderhoud	interview
1313	donkie	donkey
1314	bewe	tremble; shiver
1315	koerante	newspaper
