rank	word	english	ipa
540	vode	water	/ˈvodɛ/
541	šanse	chance, opportunity	/ˈʃansɛ/
542	ikad	ever, at any time	/îkad/
543	ispod	below, under, beneath	/îspod/
544	čujem	to hear	/ˈtʃujem/
545	njen	her, hers	/ɲêːn/
546	neku	some	/ˈnɛkʊ/
547	našli	to find, discover	/ˈnaʃlɪ/
548	dolje	down	/dôʎe/
549	telefon	telephone	/telěfoːn/
550	spremni	ready, prepared	/ˈsprɛmnɪ/
551	bile	moreover, even	/bǐle/
552	ostani	to stay, remain	/ˈostɐnɪ/
553	nekako	somehow	/nêkaːko/
554	dajte	to give	/ˈdɑjtɛ/
555	moguće	possibly	/môɡuːt͡ɕe/
556	gradu	city, town	/ˈɡradʊ/
557	zovem	to call, to be called	/zǒʋem/
558	poruku	message	/ˈporʊkʊ/
559	ovi	this, this one	/ˈovɪ/
560	sinoć	last night, yesterday night; yesterday evening	/sînoːt͡ɕ/
561	kojeg	masculine genitive singular	/ˈkojeɡ/
562	njoj	to her	/ɲôːj/
563	šest	six	/ʃêːst/
564	verovatno	probably	/ʋêroʋaːtno/
565	rat	war	/rât/
566	njegove	his	/ˈɲeɡovɛ/
567	otišla	to leave, part, depart	/ˈotɪʃlɐ/
568	sastanak	tryst	/sǎstanak/
569	želio	to wish, desire	/ˈʒɛlɪo/
570	ispred	in front of, before	/îspred/
571	volio	to love	/ˈvolɪo/
572	dragi	dear	/ˈdraɡɪ/
573	umro	to die	/ˈumro/
574	čula	to hear	/ˈtʃulɐ/
575	sestra	sister	/sěstra/
576	ovome	this, this one	/ˈovomɛ/
577	svijet	world	/sʋjêːt/
578	uzeo	to take	/ˈuzɛo/
579	ovih	masculine genitive plural	/ˈovɪh/
580	dete	child, kid	/ˈdɛtɛ/
581	jedina	sole, only	/ˈjedɪnɐ/
582	sine	son	/ˈsinɛ/
583	oboje	both	/ˈoboje/
584	kola	cart, wagon, vehicle	/kôla/
585	jedino	only, solely	/jědiːno/
586	nekim	instrumental of nȅtko / nȅko	/nêkiːm/
587	deo	part	/dêo/
588	igra	to play	/ǐɡra/
589	uopšte	generally, in general	/ǔopʃte/
590	iako	albeit, although, even though	/îako/
591	dečko	boy	/dêt͡ʃko/
592	dođe	to come, arrive	/ˈdodʑɛ/
593	putu	road	/ˈputʊ/
594	pogledajte	to look, glance, cast an eye upon	/ˈpoɡlɛˌdɑjtɛ/
595	krv	blood	/kr̩̂ːʋ/
596	dali	masculine plural active past participle of dȁti	/ˈdalɪ/
597	čim	the, as	/t͡ʃim/
598	zemlji	earth	/ˈzɛmʎɪ/
599	djevojka	girl, maiden	/djěʋoːjka/
600	točno	exactly, correctly	/tôt͡ʃno/
601	morati	to have to; must	/mǒːrati/
602	brate	brother	/brâte/
603	želimo	to wish, desire	/ˈʒɛlɪmo/
604	svim	masculine/neuter instrumental singular	/ˈsvim/
605	isti	same	/îstiː/
606	svijetu	world	/ˈsvijetʊ/
607	kome	to whom	/kǒme/
608	boli	to stab	/ˈbolɪ/
609	deset	ten	/dêset/
610	san	sleep	/sân/
611	pitao	to ask	/ˈpitɐo/
612	zemlju	earth	/ˈzɛmʎʊ/
613	vjerojatno	probably	/ʋjêrojaːtno/
614	poslu	job	/ˈposlʊ/
615	drugu	friend	/drûːɡu/
616	vidjeli	to see	/ˈvidjelɪ/
617	druga	friend	/drûːɡa/
618	piće	drink, beverage	/pǐːt͡ɕe/
619	takav	such, of such kind	/tǎkaːʋ/
620	videla	to see	/ˈvidɛlɐ/
621	devojka	girl, maiden	/děʋoːjka/
622	poziv	call	/pǒːziʋ/
623	jebeno	fucking	/jěbeno/
624	postoje	to retain a position	/ˈpostoje/
625	barem	at least	/bǎrem/
626	eto	look, see, behold	/ˈɛto/
627	film	film	/ˈfilm/
628	pronaći	to find	/prǒnaːt͡ɕi/
629	niti	nor	/nîti/
630	negdje	somewhere	/nêɡdje/
631	kim	whom	/kîm/
632	sretan	happy, merry	/srêtan/
633	ostali	to stay, remain	/ǒstaːliː/
634	miru	peace	/ˈmirʊ/
635	muž	husband	/mûːʒ/
636	nastavi	to continue	/ˈnastɐvɪ/
637	odem	to leave, part, depart	/ˈodɛm/
638	poslao	to send	/ˈposlɐo/
639	svako	everyone, everybody	/sʋâko/
640	kuća	house	/kût͡ɕa/
641	lud	crazy	/lûːd/
642	znali	to know	/ˈznalɪ/
643	drugom	friend	/drûːɡom/
644	pitanju	question	/ˈpitɐɲʊ/
645	tih	quiet, silent	/tîx/
646	ostalo	the other	/ˈostɐlo/
647	krevet	bed	/krěʋet/
648	doktor	doctor, physician	/dôktor/
649	k	to	/ˈkə/
650	kraja	end, ending	/ˈkrɑjɐ/
651	natrag	back, backwards	/nâtraːɡ/
652	budu	to be, to exist	/bûdu/
653	mjesta	place	/ˈmjestɐ/
654	nova	new	/nôːʋa/
655	čuješ	to hear	/ˈtʃujeʃ/
656	napolje	outside	/nâpoʎe/
657	stan	flat, apartment	/stâːn/
658	pošto	after	/pôʃto/
659	jedva	barely, hardly, scarcely, only just	/jêdʋa/
660	vani	outside, outdoors, out	/ʋǎni/
661	tražio	to seek, look for, search	/ˈtraʒɪo/
662	bas	bass	/bâs/
663	grada	city, town	/ˈɡradɐ/
664	zemlje	earth	/ˈzɛmʎe/
665	jutros	this morning	/jûtroːs/
666	shvatio	to understand, comprehend, grasp, conceive	/ˈshvatɪo/
667	posebno	individually, separately	/pǒːsebno/
