rank	word	english
611	deset	ten
612	ispred	in front of, before
613	boli	to stab
614	sastanak	tryst
615	ondje	there, over there
616	nekim	instrumental of nȅtko / nȅko
617	naprijed	forward, forwards
618	postoje	to be, exist
619	jedina	sole, only
620	time	masculine/neuter instrumental singular of tȃj
621	san	sleep
622	govoriti	to speak, talk, converse
623	priliku	opportunity
624	pre	before, earlier
625	svim	masculine/neuter instrumental singular
626	neku	some
627	tih	quiet, silent
628	zemlji	earth
629	uvek	always
630	poslu	job
631	doista	truly, indeed
632	večer	evening
633	čuli	to hear
634	poslao	to send
635	zemlju	earth
636	tražio	to seek, look for, search
637	jutros	this morning
638	muž	husband
639	igra	to play
640	zovem	to call, to be called
641	nazvati	to name
642	ovih	masculine genitive plural
643	drugu	friend
644	miru	peace
645	čeka	to wait, await
646	stan	flat, apartment
647	shvatio	to understand, comprehend, grasp, conceive
648	izaći	to go out, leave, come out, get out
649	ostali	to stay, remain
650	živ	live, alive
651	vijesti	news
652	osjećaj	to feel
653	tjedna	week
654	pustiti	to let, let go, release
655	jučer	yesterday
656	kriv	guilty, culpable
657	čekati	to wait, await
658	odgovor	answer
659	inače	otherwise
660	pokazati	to show, demonstrate
661	odvesti	to take, take away
662	jesmo	first-person plural present of bȉti
663	film	film
664	ovi	this, this one
665	druga	friend
666	jedva	barely, hardly, scarcely, only just
667	među	between
668	sljedeći	next, following
669	mjesec	moon
670	desilo	to happen, occur
671	obično	usually, commonly, ordinarily
672	sine	son
673	brata	brother
674	krevet	bed
675	zatim	then, afterwards
676	vrsta	kind, sort
677	piše	to write
678	lud	crazy
679	kojem	which, what
680	dali	masculine plural active past participle of dȁti
681	svakako	certainly, of course
682	gle	look, behold
683	grada	city, town
684	ući	to enter, go into, come in
685	umjesto	instead of
686	pored	beside, next to, alongside
687	nećete	to wish, want, desire
688	djece	children
689	ostalo	to stay, remain
690	vreme	time
691	kraja	end, ending
692	čuješ	to hear
693	uraditi	to do, make
694	razgovor	talk, conversation
695	zaustaviti	to stop
696	dobri	good
697	misle	to think
698	zemlje	earth
699	godinu	year
700	video	video
701	prestati	to stop, quit
702	jebeno	fucking
703	kim	whom
704	savršeno	perfectly
705	smijem	may, can
706	bolji	good
707	njen	her, hers
708	nova	nova
709	drugom	friend
710	završiti	to end, end up, wind up
711	red	row
712	um	mind
713	dobila	to receive, get, obtain, acquire
714	noge	leg
715	strani	side
716	nastavi	to continue
717	momak	a young man, lad
718	početi	to begin, start, commence
719	dom	home, house
720	igrati	to play
721	strašno	terribly, awfully, horribly
722	eto	look, see, behold
723	spasiti	to save, salvage
724	leđa	back
725	ured	office
726	iskreno	sincerely, honestly
727	the	alternative spelling of da
728	često	often
729	osobno	personally
730	roditelji	parent
731	gospodin	gentleman
732	izvan	outside, out of
733	zbogom	goodbye, farewell
734	riješiti	to solve
735	platiti	to pay
736	zauvijek	forever
737	posebno	individually, separately
738	sretno	luckily, with luck, having luck, with the help of luck
739	staviti	to put, place
740	uspio	to succeed, make good
741	saznati	to find out, come to know
742	kćer	alternative form of kćȋ
743	glavni	main, chief, principal
744	nevjerojatno	incredibly, unlikely, unbelievably, improbably
745	sobom	myself
746	oče	father
747	prošli	past, gone by
748	nove	new
749	pravila	rule
750	kome	to whom
751	dopustiti	to allow, permit, let
752	nazad	back, backwards
753	shvatiti	to understand, comprehend, grasp, conceive
754	brinuti	to worry
755	godinama	for years; in years
756	zatvor	prison, jail
757	stara	old
758	držati	to hold, grasp
759	promijeniti	to change
760	kurac	penis, dick, cock
761	napad	attack, assault, aggression
762	milijuna	million
763	pokušaj	attempt, try
764	tiče	bird
765	sedam	seven
766	imena	genitive singular of ȉme
767	kunem	to curse
768	doktor	doctor, physician
769	nemoguće	impossibly
770	izgubiti	to lose, misplace
771	policajac	policeman
772	cura	girl
773	kupiti	to buy, purchase
774	konačno	finally, at last
775	izvući	to pull out, draw out
776	kralj	king
777	pas	dog
778	glas	voice
779	pokušati	to try, attempt
780	našla	to find, discover
781	jesti	to eat, consume
782	nosi	to carry, bring
783	brate	brother
784	slike	picture, image
785	spavati	to sleep
786	sir	cheese
787	šef	chief, boss, manager, director, head
788	hajdemo	let's go
789	pitanju	question
790	novu	new
791	kasno	late
792	idu	to go, walk
793	radila	to work
794	loš	bad, malicious
795	hranu	food
796	šteta	damage, harm
797	išta	any
798	postati	to become, turn, get
799	kojim	which, what
800	dokaz	proof, evidence
801	tražiti	to seek, look for, search
802	rođendan	birthday
803	rad	willing
804	nemate	not to have
805	kvragu	damn, dammit
806	znak	sign
807	nositi	to carry, bring
808	vodu	water
809	vole	to love
810	niko	no one, nobody
811	misliti	to think
812	usta	mouth
813	smeta	to mind, care about
814	stigao	to arrive, reach
815	posljednji	final
816	rukama	arm
817	poslati	to send
818	muškarac	male, man
819	završio	to end, end up, wind up
820	društvo	society
821	srediti	to arrange, settle, put in order
822	naši	our, ours
823	upoznati	to familiarize, get to know, get acquainted with
824	ključ	key
825	trenutno	currently
826	zvati	to call, to be called
827	bitno	essentially, in essence
828	osam	eight
829	trenutku	moment
830	budu	to be, to exist
831	soba	room
832	pogled	view
833	zakon	law, rule
834	čast	honour
835	pogledati	to look, glance, cast an eye upon
836	iznad	above, over
837	kapetan	captain
838	otkad	since, ever since
839	koristiti	to use, utilize
840	agent	agent
841	budemo	first-person plural present of bȉti
842	pismo	alphabet
843	odem	to leave, part, depart
844	ostatak	remainder, rest
845	išao	to go, walk
846	zaboraviti	to forget
847	izbor	choice
848	proći	to pass, go
849	mozak	brain
850	zemlja	earth
851	počinje	to begin, start, commence
852	nastaviti	to continue
853	provjeriti	to check, confirm
854	svejedno	all the same
855	kladim	to bet, wager
856	svatko	everyone, everybody
857	zadržati	to keep, retain, withhold
858	knjigu	book
859	biće	to be, to exist
860	auta	car, automobile
861	drugačije	differently
862	gledao	to watch, look, see
863	objasniti	to explain
864	svaka	brother-in-law
865	njihov	their, theirs
866	novo	new
867	božić	god, deity
868	glupo	stupid, foolish
869	većina	majority, most
870	zoveš	to call, to be called
871	seks	sex
872	ludo	crazily, insanely
873	napokon	finally, at last
874	cure	girl
875	kakvo	what kind of
876	prokletstvo	curse
877	loša	bad, malicious
878	moć	power
879	zovu	to call, to be called
880	onu	feminine accusative singular of ònāj
881	smije	third-person singular present indicative of smjȅti impf
882	naučiti	to teach, train, instruct
883	uđi	to enter, go into, come in
884	slika	picture, image
885	okolo	around
886	nemaju	not to have
887	budite	to be, to exist
888	pobjeći	to flee, run away
889	tijekom	during
890	nekad	once, in former times
891	budućnost	future
892	pozdrav	greeting, salutation
893	nad	over, above
894	dječak	boy, youngster
895	definitivno	definitely
896	autu	car, automobile
897	slobodno	freely
898	njezin	her, hers
899	početak	beginning
900	izvinite	sorry!
901	pošto	after
902	sasvim	completely, entirely, wholly
903	govore	speech
904	donijeti	to bring, carry
905	ionako	anyway, anyhow
906	pivo	beer
907	ovuda	this way, in this direction
908	krenuti	to move, set in motion
909	žrtva	sacrifice
910	bol	pain, aching
911	dvojica	two men
912	ajde	alternative form of hàjde
913	luda	madman, insane person
914	dogovor	agreement, deal
915	slažem	to lie
916	ručak	lunch, dinner, usually the main meal of the day
917	uništiti	to destroy, annihilate
918	nekom	dative of nȅtko / nȅko
919	zanimljivo	interestingly
920	račun	calculus
921	sav	all, complete, whole
922	sjedi	to sit
923	gotov	ready, prepared
924	duboko	deeply
925	korak	step
926	gđa	Mrs
927	vezu	connection, link
928	prijateljica	friend
929	njegovom	his
930	pao	active past participle of pȁsti
931	pogrešno	wrongly, erroneously
932	odjednom	suddenly, unexpectedly, at once
933	došlo	to come, arrive
934	voda	water
935	knjige	book
936	vrag	devil
937	lijep	nice, pretty
938	trag	trace
939	pokaži	to show, demonstrate
940	miči	to move
941	rata	war
942	stanju	condition, state
943	apsolutno	absolutely
944	mobitel	cell phone, mobile phone
945	stoji	third-person singular present of stàjati
946	rado	gladly, happily
947	odgovara	third-person singular present of odgovárati
948	stigli	masculine plural past active participle of stignuti pf
949	zovi	to call, to be called
950	boriti	to fight, struggle
951	ulazi	entrance
952	ravno	straight, directly
953	šališ	to joke; to joke around
954	glava	head
955	idete	to go, walk
956	kuda	which way, in what direction
957	slušati	to listen
958	slučajno	accidentally
959	zabava	fun, amusement
960	kola	cart, wagon, vehicle
961	nogu	leg
962	hrane	food
963	supruga	wife, female spouse
964	beba	baby
965	pomaže	third-person singular present indicative of pomagati impf
966	jebote	fuck, holy shit, for fuck's sake
967	napisao	to write
968	svako	everyone, everybody
969	nažalost	unfortunately
970	nađemo	to find, discover
971	knjiga	book
972	kreni	to move, set in motion
973	pun	full, filled
974	ostao	to stay, remain
975	duh	ghost, spirit
976	putem	by means of, by way of, through
977	m	masculine gender
978	lica	face
979	trebati	to be needed, to be required
980	ista	same
981	tv	TV
982	sustav	system
983	pomalo	a little bit
984	igru	play
985	prozor	window
986	prekasno	too late, belatedly
987	užasno	terribly
988	ostale	to stay, remain
989	tajna	secret
990	otvoriti	to open
991	jaja	egg
992	njegovog	his
993	žive	live, alive
994	vide	third-person plural present
995	sobe	room
996	mišljenje	opinion
997	predsjednik	chairman
998	iznenađenje	surprise
999	pri	close to, near, at
1000	brodu	ship
1001	uspjeti	to succeed, make good
1002	greška	fault
1003	ćao	hi!
1004	zrak	air
1005	stići	alternative form of stȉgnuti
1006	krevetu	bed
1007	dobit	profit
1008	mir	peace
1009	strah	fear, dread
1010	sretni	happy, merry
1011	završi	to end, end up, wind up
1012	zamisliti	to imagine
1013	ušao	to enter, go into, come in
1014	slobodan	free
1015	prijevod	translation
1016	usput	by the way
1017	malu	small
1018	itko	anybody, anyone
1019	ženi	woman
1020	niz	down, along
1021	pristup	access
1022	izgubila	to lose, misplace
1023	tiho	quietly, silently
1024	doba	time
1025	davno	long ago
1026	ženom	woman
1027	konja	horse
1028	male	small
1029	uglavnom	mostly, in general
1030	čime	what
1031	primjer	example, instance
1032	priznati	to acknowledge, recognize
1033	dar	gift
1034	dovesti	to transfer something by driving
1035	avion	aeroplane
1036	sjajan	radiant, brilliant, shining
1037	mnogi	many
1038	hladno	coldly
1039	čudo	wonder, miracle
1040	zaboga	for goodness' sake!
1041	krivo	awry
1042	ljut	angry
1043	ben	birthmark, mole, naevus
1044	stol	table
1045	odvjetnik	lawyer, attorney
1046	zadovoljstvo	pleasure
1047	veza	connection, link
1048	metak	bullet
1049	živa	live, alive
1050	baci	to throw, cast
1051	jezik	tongue
1052	poklon	gift, present
1053	prsten	ring
1054	otkriti	to uncover, unveil
1055	novog	new
1056	prokleti	to curse
1057	vijest	report, news
1058	prati	to follow
1059	prilika	opportunity
1060	tjedana	week
1061	očima	eye
1062	počeli	to begin, start, commence
1063	pobijediti	to conquer, overcome
1064	dokaze	proof, evidence
1065	zadatak	task, assignment
1066	boje	color, tint
1067	glup	stupid, foolish
1068	voziti	to drive
1069	dobrodošli	welcome
1070	pametan	smart, clever
1071	pitala	to ask
1072	opasno	dangerously
1073	ka	as, like
1074	slično	similarly
1075	mlada	young
1076	pozvati	to call
1077	detektiv	detective
1078	svjetlo	light
1079	kći	daughter
1080	čisto	purely
1081	čaj	tea
1082	sunce	sun
1083	pakao	hell
1084	obzirom	consideration, care, respect
1085	klub	club
1086	zlato	gold
1087	dokaza	proof, evidence
1088	brak	marriage
1089	rano	early
1090	oduvijek	since always
1091	savjet	council
1092	brine	to worry
1093	vlada	government
1094	čovek	man, person
1095	test	test
1096	osiguranje	insurance, assurance
1097	smeće	trash, waste, garbage
1098	ples	dance
1099	otkud	whence, from where
1100	uđite	to enter, go into, come in
1101	devet	nine
1102	uhvatiti	to grab, seize, take hold of
1103	komad	piece, part
1104	ostane	to stay, remain
1105	mislimo	to think
1106	unutar	within, inside, in
1107	dokazati	to prove
1108	normalno	normally
1109	nos	nose
1110	zvijezda	a star
1111	tajne	secret
1112	sud	court
1113	idiot	idiot
1114	očigledno	obviously
1115	jeli	to eat, consume
1116	uzela	to take
1117	lepo	beautifully, nicely
1118	snage	strength, power
1119	nož	knife
1120	potreban	necessary
1121	bolestan	sick, ill
1122	voditi	to lead
1123	kosu	hair
1124	čuj	to hear
1125	vaši	louse
1126	tisuća	thousand
1127	obojica	both
1128	pitaš	to ask
1129	popraviti	to fix, repair
1130	vikend	weekend
1131	donesi	to bring, carry
1132	poći	to go, go away, leave, depart
1133	svu	feminine accusative singular of sȁv
1134	hotel	hotel
1135	glupa	stupid, foolish
1136	umre	to die
1137	osobe	person
1138	program	program
1139	seksi	sexy
1140	hrana	food
